Customer Name,Phone,Item Ordered,Price,Date
khushi,8302066423,Samsung a23,21111,2026-08-16 15:04
Rohansh Kumawat,878656789,iPhone Apple iPhone16 Plus,"89,000",2026-08-18 00:38
Ritesh Jain,768798980,Samsung Samsung Galaxy M36 5G,"17,499",2026-08-18 00:38
Anita Malav ,829289468,Samsung Samsung Galaxy A16 5G,"18,999",2026-08-18 00:39
Darshna Sharma,978675367,Samsung Samsung Galaxy M36 5G,"17,499",2026-08-18 00:39
Satvik,867657799,Samsung Samsung Galaxy Z Fold 7,"1,74,999",2026-08-18 12:19
Rajmal Meena,9928374587,iPhone Apple iPhone 14,"59,900",2026-08-19 20:04
aalu,5678905678,iPhone Apple iPhone16 Plus,"89,000",2026-08-20 11:42
suman,67879878786,iPhone Apple iPhone16 Plus,"89,000",2026-08-20 12:54
jyii,788979900,iPhone Apple iPhone 14,"59,900",2026-08-20 13:10
